_source,_fetched_at,_endpoint,season,url
ergast_api,2026-09-22T23:26:17.823420,https://api.jolpi.ca/ergast/f1/seasons,1998,https://en.wikipedia.org/wiki/1998_Formula_One_World_Championship
ergast_api,2026-09-22T23:26:17.823424,https://api.jolpi.ca/ergast/f1/seasons,1999,https://en.wikipedia.org/wiki/1999_Formula_One_World_Championship
ergast_api,2026-09-22T23:26:17.823429,https://api.jolpi.ca/ergast/f1/seasons,2000,https://en.wikipedia.org/wiki/2000_Formula_One_World_Championship
ergast_api,2026-09-22T23:26:17.823433,https://api.jolpi.ca/ergast/f1/seasons,2001,https://en.wikipedia.org/wiki/2001_Formula_One_World_Championship
ergast_api,2026-09-22T23:26:17.823437,https://api.jolpi.ca/ergast/f1/seasons,2002,https://en.wikipedia.org/wiki/2002_Formula_One_World_Championship
ergast_api,2026-09-22T23:26:17.823442,https://api.jolpi.ca/ergast/f1/seasons,2003,https://en.wikipedia.org/wiki/2003_Formula_One_World_Championship
ergast_api,2026-09-22T23:26:17.823450,https://api.jolpi.ca/ergast/f1/seasons,2004,https://en.wikipedia.org/wiki/2004_Formula_One_World_Championship
ergast_api,2026-09-22T23:26:17.823454,https://api.jolpi.ca/ergast/f1/seasons,2005,https://en.wikipedia.org/wiki/2005_Formula_One_World_Championship
ergast_api,2026-09-22T23:26:17.823459,https://api.jolpi.ca/ergast/f1/seasons,2006,https://en.wikipedia.org/wiki/2006_Formula_One_World_Championship
ergast_api,2026-09-22T23:26:17.823464,https://api.jolpi.ca/ergast/f1/seasons,2007,https://en.wikipedia.org/wiki/2007_Formula_One_World_Championship
ergast_api,2026-09-22T23:26:17.823468,https://api.jolpi.ca/ergast/f1/seasons,2008,https://en.wikipedia.org/wiki/2008_Formula_One_World_Championship
ergast_api,2026-09-22T23:26:17.823473,https://api.jolpi.ca/ergast/f1/seasons,2009,https://en.wikipedia.org/wiki/2009_Formula_One_World_Championship
ergast_api,2026-09-22T23:26:17.823478,https://api.jolpi.ca/ergast/f1/seasons,2010,https://en.wikipedia.org/wiki/2010_Formula_One_World_Championship
ergast_api,2026-09-22T23:26:17.823482,https://api.jolpi.ca/ergast/f1/seasons,2011,https://en.wikipedia.org/wiki/2011_Formula_One_World_Championship
ergast_api,2026-09-22T23:26:17.823487,https://api.jolpi.ca/ergast/f1/seasons,2012,https://en.wikipedia.org/wiki/2012_Formula_One_World_Championship
ergast_api,2026-09-22T23:26:17.823494,https://api.jolpi.ca/ergast/f1/seasons,2013,https://en.wikipedia.org/wiki/2013_Formula_One_World_Championship
ergast_api,2026-09-22T23:26:17.823498,https://api.jolpi.ca/ergast/f1/seasons,2014,https://en.wikipedia.org/wiki/2014_Formula_One_World_Championship
ergast_api,2026-09-22T23:26:17.823503,https://api.jolpi.ca/ergast/f1/seasons,2015,https://en.wikipedia.org/wiki/2015_Formula_One_World_Championship
ergast_api,2026-09-22T23:26:17.823508,https://api.jolpi.ca/ergast/f1/seasons,2016,https://en.wikipedia.org/wiki/2016_Formula_One_World_Championship
ergast_api,2026-09-22T23:26:17.823513,https://api.jolpi.ca/ergast/f1/seasons,2017,https://en.wikipedia.org/wiki/2017_Formula_One_World_Championship
ergast_api,2026-09-22T23:26:17.823517,https://api.jolpi.ca/ergast/f1/seasons,2018,https://en.wikipedia.org/wiki/2018_Formula_One_World_Championship
ergast_api,2026-09-22T23:26:17.823521,https://api.jolpi.ca/ergast/f1/seasons,2019,https://en.wikipedia.org/wiki/2019_Formula_One_World_Championship
ergast_api,2026-09-22T23:26:17.823526,https://api.jolpi.ca/ergast/f1/seasons,2020,https://en.wikipedia.org/wiki/2020_Formula_One_World_Championship
ergast_api,2026-09-22T23:26:17.823530,https://api.jolpi.ca/ergast/f1/seasons,2021,https://en.wikipedia.org/wiki/2021_Formula_One_World_Championship
ergast_api,2026-09-22T23:26:17.823535,https://api.jolpi.ca/ergast/f1/seasons,2022,https://en.wikipedia.org/wiki/2022_Formula_One_World_Championship
ergast_api,2026-09-22T23:26:17.823540,https://api.jolpi.ca/ergast/f1/seasons,2023,https://en.wikipedia.org/wiki/2023_Formula_One_World_Championship
ergast_api,2026-09-22T23:26:17.823544,https://api.jolpi.ca/ergast/f1/seasons,2024,https://en.wikipedia.org/wiki/2024_Formula_One_World_Championship
ergast_api,2026-09-22T23:26:17.823549,https://api.jolpi.ca/ergast/f1/seasons,2025,https://en.wikipedia.org/wiki/2025_Formula_One_World_Championship
ergast_api,2026-09-22T23:26:17.823553,https://api.jolpi.ca/ergast/f1/seasons,2026,https://en.wikipedia.org/wiki/2026_Formula_One_World_Championship
